Nr.,Articol,Clasa,Cod extern,Cod,Pret,UM,Stoc,PRODUCATOR,Data
crt.,,articol,,articol,vanzare,,curent,,adaugarii
1642,GRESIE LUSSACA NUGAT 600X17.5 1.05MP,1,9007912544784,15656,86.60,M2,0.00,DUN,03.10.2022
1643,GRESIE MADERA MATT SGR114 60X60 1.44MP/CUT,1,9007912543312,16332,138.00,MP,0.00,DUN,30.01.2024
1644,GRESIE MATTINA SABBIA 19.3X120.2,1,9007767532899,14065,115.00,M2,0.00,DUN,28.04.2020
1645,GRESIE MAXIMA DARK GREY MATT(STREET ANTRACIT)60X60 1.44MP,1,9007767535869,14435,63.50,Buc,0.00,DUN,01.02.2021
1646,GRESIE MIDNIGHT BLACK 60X120MM 1.44 MP/CUTIE,1,9007912539261,15747,123.60,M2,0.00,DUN,14.11.2022
1647,GRESIE MISTO MATTONE BROWN 40X40 -1.12MP,1,9007767535098,14330,43.00,M2,0.00,DUN,01.10.2020
1648,GRESIE NATURE WHITE 15X600 GORENJE,1,9007767527383,13403,59.50,M2,0.00,DUN,10.05.2019
1649,GRESIE PLAZZO POL 60X60 1.44 MP,1,9007912537052,15220,67.00,M2,1.44,DUN,14.02.2022
1650,GRESIE RIVIERA GREY MAT 60X60 1.8 MP,1,9007912545163,16797,84.80,MP,0.00,DUN,11.11.2024
1651,GRESIE RIVIERA SILVER MAT 60X60 1.44MP,1,9007912536710,15150,65.00,M2,0.00,DUN,04.11.2021
1652,GRESIE RIVIERA WHITE MAT 60X60 1.44 MP,1,9007912539865,15900,88.00,M2,0.00,DUN,22.02.2023
1653,GRESIE ROMA 31X62 1.34MP,1,9007767537122,14644,70.00,M2,0.00,DUN,21.05.2021
1654,GRESIE RONA BEIGE19.8X119.8 0.95MP,1,9007912536543,15103,83.00,M2,0.00,DUN,12.10.2021
1655,GRESIE ROYAL 60X120MM 1.44 MP/CUTIE,1,9007912539278,15748,113.00,M2,0.00,DUN,14.11.2022
1656,GRESIE SETIM HONEY 600X175X8 1.05MP,1,9007912538097,15368,74.50,Buc,0.00,DUN,10.06.2022
1657,GRESIE SP.BEIGE 30.5X30.5 1.39MP,1,9007767512549,10999,74.30,M2,0.00,DUN,08.12.2015
1658,GRESIE SUOMI BROWN 15.5X62 CAL I 1.34MP CUTIE,1,9007912543732,16609,72.00,MP,0.00,DUN,16.05.2024
1659,GRESIE SUPER WHITE60X60 RETT,1,9007767532158,13953,62.00,M2,0.00,DUN,06.03.2020
1660,GRESIE TERRA WHITE 60X60 1.44MP/CUT,1,9007767535913,14442,85.00,M2,0.00,DUN,09.02.2021
1661,GRESIE TILIA MAGMA 600X175X9 1.05MP,1,9007767534558,14270,63.50,M2,0.00,DUN,08.08.2020
1662,GRESIE TILIA MIST 600X175X9 1.05MP/CUT,1,9007767537993,14938,69.60,M2,0.00,DUN,29.07.2021
1663,GRESIE TOWN ANTRACITE 60X120 1.44MP,1,9007912538530,15597,105.30,M2,0.00,DUN,20.07.2022
1664,GRESIE TRAVERTINO CREMA SUGAR LAPP 60X120 2.16MP,1,9007912545170,16798,97.46,MP,0.00,DUN,11.11.2024
1665,GRESIE TRAVERTINO GREEN 60X120 1.44MP,1,,15271,106.80,M2,0.00,DUN,23.03.2022
1666,GRESIE VIA STRADA RIMINI 33X33 0.98MP,1,9007767534794,14296,43.50,M2,0.00,DUN,09.09.2020
1667,GRESIE WHITE DANZIG 60X60 1.44 MP,1,9007912538769,15639,106.00,M2,0.00,DUN,26.09.2022
1668,*COLIER 3/8 CU MANSON,1,9007767486369,6646,3.00,Buc,0.00,EBAL,24.10.2011
1669,"*COLIER TEAVA 1"" CU DIBLU",1,9007767466064,1713,1.94,Buc,7.00,EBAL,30.09.2008
1670,*COLIER TEAVA 1/2 CU DIBLU,1,9007767466071,1714,1.94,Buc,1.00,EBAL,30.09.2008
1671,*COLIER TEAVA 3/4 CU DIBLU,1,9007767466088,1715,2.42,Buc,0.00,EBAL,30.09.2008
1672,*COLIER TEAVA 3/8 CU DIBLU,1,9007767466095,1716,1.94,Buc,20.00,EBAL,30.09.2008
1673,*CU COT 18X45* INT-EXT,1,9007767488318,7099,5.30,BUC,11.00,EBAL,04.02.2012
1674,*CU COT 18X45* INT-INT,1,9007767470290,3891,4.50,BUC,17.00,EBAL,18.01.2010
1675,*CU COT 28X45* INT-INT,1,9007767470313,3893,10.00,BUC,7.00,EBAL,18.01.2010
1676,*CU COT 28X45*INT-EXT,1,9007767480114,5495,10.20,BUC,1.00,EBAL,11.02.2011
1677,*CU COT 35X45 INT-EXT,1,9007767485621,6562,18.39,Buc,2.00,EBAL,05.10.2011
1678,*CU DOP 18,1,9007767470559,3918,3.60,BUC,9.00,EBAL,19.01.2010
1679,*CU MUFA REDUSA 18-15 INT-INT,1,9007767470023,3863,3.30,BUC,12.00,EBAL,18.01.2010
1680,*CU MUFA REDUSA 22-15 INT-EXT,1,9007767470085,3869,3.80,BUC,12.00,EBAL,18.01.2010
1681,*CU MUFA REDUSA 22-18 INT-EXT,1,9007767470092,3870,3.87,BUC,5.00,EBAL,18.01.2010
