,,
,,
,,
1,AUSTROTHERM COM SRL,MARIANA SI ELI
2,BAUMIT ROMANIA COM SRL,MARIANA SI ELI
3,CEMACON SA,MARIANA SI ELI
4,CEMIX ROMANIA S.R.L.,MARIANA SI ELI
5,FORMATT BUILDING PRODUCTS LTD,MARIANA SI ELI
6,HOLCIM (Romania) SA,MARIANA SI ELI
7,IMCOP S.R.L.,MARIANA SI ELI
8,KNAUF INSULATION SRL,MARIANA SI ELI
9,ROMCIM S.A.,MARIANA SI ELI
